Codigo;produto;QTD.;Vlr Unit.
32682; ACNEZIL SABONETE BARRA PELE A;2;10
31087; ACNEZIL SABONETE BARRA PELE OL;1;10
17480; ACNEZIL SABONETE LIQUIDO FACIA;2;29
35989; ACQUA KIDS CREM PENT 3EM1 FRAM;1;17
35990; ACQUA KIDS CREM PENT 3EM1 MANG;2;17
35991; ACQUA KIDS CREM PENT 3EM1 MELA;2;17
26321; ACQUA KIDS SH+COND ALGODAO 250;1;25
35983; ACTINE AQUAFLUID F60 40G SEM C;1;89
28634; ACTINE GEL DE LIMPEZA 140ML;1;58
30936; ACTINE SAB LIQ 140ML;1;58
35067; ACU FRESH G SOL OFT. 5MG/ML +;1;23,59
17499; ACULAR LS 0,4% COL 5 ML;1;82,7
3151; AD-MUC POMADA 10GR;1;61
9397; AD-TIL SOL 20ML;1;23,53
8024; ADACNE CLIN 45G;1;83,81
23370; ADAPTIS FRESH 0,4%;1;93
23362; ADAPTIS GEL OFT 2MG 10G;1;90,52
23802; ADAPTIS SOL OFT 0,5% 10ML  OUT;1;31
24064; ADAPTIS SOL OFT 1% 10ML;2;84
23999; ADDERA D3 1.000UI 5ML;1;80,8
20169; ADDERA D3 10000UI C/4 CAP;2;72,71
26334; ADDERA D3 14000UI 4CPS;1;81,83
23010; ADDERA D3 7.000UI C/30 CAPS GE;1;183,75
7; ADEFORTE ORAL AMP 3ML;2;33
34619; ADEFORTE TURBO C/2 AMPOLAS;2;57
3921; ADINOS 0.5MG GEL 15G;1;23,62
11304; ADINOS GEN CREME C/ 30 G ;1;55,47
14181; ADIPEPT 40MG C/ 28 COMP;2;62,63
36230; ADOC LINEA PO 50ENV STEVIA;4;9
27827; ADOC LINEA XILITOL  60ML;2;18,5
35623; ADOC ZERO CAL LIQ 065ML XILITO;1;14,5
35624; ADOC ZERO CAL PO 50ENV SUCRALO;2;10,5
9108; ADOCANTE LINEA 75 ML SUCRALOSE;10;15
9494; ADOCANTE LINEA SUCRALOSE 50 EN;6;9
16244; ADOCANTE STEVIA LIQUIDO LINEA ;2;8
24807; ADOCANTE ZERO CAL SUCRALOSE 10;4;14
32375; ADOCANTE ZERO-CAL ER.LIQ.65ML;2;19
27666; ADVIL 12HORAS 600MG C/ 6;2;25,81
